index,sentiment,gpt_Rating,reliability,utility,driving,comfort,interior,fuel_efficiency,technology,batch
1590,positive,4,1,1,0,1,0,0,0,1
1617,negative,1,1,0,0,0,0,0,0,1
1628,positive,5,0,1,0,1,0,0,0,1
1633,positive,5,1,1,1,0,1,0,0,1
1641,positive,5,1,0,0,0,0,0,0,1
1686,positive,5,1,0,0,0,0,0,0,1
1697,negative,1,1,0,0,0,0,0,0,1
1756,negative,1,1,0,0,0,0,0,0,1
1767,positive,4,1,1,1,0,0,1,0,1
1797,negative,1,1,1,0,1,0,1,0,1
1803,positive,5,1,0,1,0,0,0,0,1
1840,negative,1,1,0,0,0,0,0,0,1
1850,negative,1,1,1,1,1,1,0,1,1
1862,negative,1,1,1,0,1,0,1,0,1
1877,positive,4,1,1,1,1,1,1,0,1
1883,positive,5,1,1,1,1,1,1,0,1
1933,positive,5,1,1,0,1,1,0,0,1
1976,positive,4,1,1,0,1,1,0,0,1
1988,neutral,3,0,0,1,1,1,0,0,1
2097,positive,5,1,0,1,0,0,0,0,1
2111,positive,4,1,0,1,1,0,1,0,1
2183,positive,5,0,0,1,1,0,0,0,1
2221,positive,4,1,0,1,1,1,0,0,1
2222,negative,1,0,0,0,0,0,1,0,1
2286,positive,4,1,0,1,0,0,0,0,1
2319,positive,4,1,1,1,1,1,1,1,1
2324,negative,1,1,0,1,0,1,0,0,1
2485,positive,4,1,0,1,1,0,1,0,1
2544,positive,5,1,0,1,1,1,1,0,1
2587,positive,4,0,0,1,0,1,1,0,1
2622,positive,4,0,0,1,1,1,0,0,1
2629,positive,4,1,0,1,1,1,0,0,1
2723,positive,4,1,0,1,0,0,1,0,1
2733,negative,2,0,0,1,0,0,0,0,1
2752,positive,5,1,0,1,1,0,0,0,1
2778,positive,5,1,1,1,0,0,1,0,1
2841,positive,5,1,0,1,0,0,1,0,1
2851,positive,4,1,1,1,0,0,0,0,1
2881,positive,5,1,0,1,0,0,1,0,1
2902,positive,5,0,0,1,0,0,0,0,1
2908,positive,5,0,0,1,0,0,0,0,1
2933,positive,5,1,1,1,0,0,1,0,1
2936,positive,5,1,1,1,1,1,1,0,1
2983,negative,1,0,0,0,0,0,0,0,1
2994,negative,1,1,0,0,0,0,0,0,1
3087,positive,4,0,1,1,1,1,0,1,1
3166,positive,4,0,1,1,1,1,0,1,1
3224,negative,1,1,0,0,0,0,0,0,1
3267,positive,4,1,1,1,1,1,1,1,1
3325,positive,5,0,0,1,1,1,0,0,1
3370,negative,1,1,1,1,0,0,0,0,1
3388,positive,4,0,1,1,1,1,1,0,1
3412,positive,5,0,1,1,1,1,1,0,1
3446,positive,4,1,1,1,1,1,0,0,1
3455,positive,4,1,1,1,1,1,0,0,1
3485,neutral,3,1,1,1,1,1,0,0,1
3552,positive,5,0,0,1,0,0,1,1,1
3593,positive,5,1,0,1,0,0,0,0,1
3609,neutral,3,0,1,1,0,0,1,0,1
3643,positive,5,0,0,1,0,0,0,0,1
3644,positive,4,0,0,1,0,0,1,0,1
3710,positive,5,0,0,1,1,1,0,0,1
3754,positive,5,0,1,0,1,0,0,0,1
3793,negative,2,1,0,0,0,0,0,0,1
3850,positive,5,0,0,1,1,1,1,0,1
3906,neutral,3,0,0,1,0,0,1,0,1
3912,positive,5,1,1,1,1,1,0,0,1
3942,positive,4,1,0,1,0,0,1,0,1
3986,positive,5,0,1,1,1,1,1,1,1
4040,positive,5,0,0,0,0,0,0,0,1
4068,positive,4,0,1,1,0,1,1,1,1
4081,negative,1,1,0,0,0,0,1,0,1
4099,positive,4,1,1,0,0,0,1,0,1
4121,positive,4,1,1,1,0,0,1,0,1
4133,negative,1,1,0,0,0,0,1,0,1
4157,positive,5,1,1,1,1,1,0,0,1
4171,negative,1,0,0,1,1,1,0,0,1
4182,positive,5,0,0,1,1,0,1,0,1
4188,positive,5,0,0,1,1,1,0,0,1
4208,positive,4,0,1,1,1,1,1,0,1
4210,positive,5,0,1,1,1,1,1,0,1
4255,positive,5,1,0,1,1,1,1,0,1
4257,positive,5,0,1,1,1,1,0,0,1
4276,positive,5,1,1,1,1,1,1,0,1
4292,positive,5,0,0,1,0,0,1,0,1
4320,positive,5,0,1,1,0,0,1,0,1
4329,negative,1,1,0,0,0,0,0,0,1
4333,positive,5,1,0,1,0,0,1,0,1
4417,positive,4,1,1,1,0,1,1,1,1
4435,positive,5,0,0,0,0,0,0,0,1
4438,negative,1,1,0,0,0,0,0,0,1
4532,negative,1,1,0,0,1,1,1,0,1
4588,positive,5,0,1,1,0,0,0,0,1
4616,positive,4,1,0,1,1,1,0,0,1
4622,positive,5,1,0,1,1,1,1,1,1
4630,positive,4,0,0,1,1,0,0,0,1
4632,positive,5,1,1,1,1,0,1,0,1
4639,negative,1,1,0,1,0,1,1,0,1
4668,positive,5,1,1,1,1,1,1,0,1
4748,negative,2,0,0,1,0,0,0,0,1
4751,positive,5,1,1,1,1,1,0,0,1
4755,positive,4,1,0,0,0,0,0,0,1
4759,positive,5,1,1,1,0,0,1,0,1
4863,positive,4,1,0,1,1,0,1,0,1
4880,negative,1,1,0,0,0,0,0,0,1
4932,positive,4,0,0,1,0,0,1,0,1
4941,negative,1,1,0,0,0,0,0,0,1
4943,negative,1,1,0,0,0,0,1,0,1
4950,positive,5,1,0,1,0,0,0,0,1
5009,positive,4,0,0,1,0,1,0,0,1
5017,positive,4,1,1,1,0,0,1,0,1
5041,positive,4,1,1,1,1,1,0,0,1
5054,positive,5,1,0,1,1,1,0,0,1
5076,positive,5,1,1,1,1,0,0,0,1
5092,positive,5,0,0,0,0,0,0,0,1
5093,positive,5,1,1,1,1,0,0,0,1
5193,negative,1,1,0,0,0,0,0,0,1
5241,positive,4,1,0,1,0,0,1,0,1
5248,negative,1,0,0,1,0,1,1,0,1
5251,positive,5,1,0,0,0,0,0,0,1
5268,negative,2,1,0,0,0,0,1,0,1
5273,positive,4,0,0,1,0,0,1,0,1
5325,positive,5,1,0,1,1,1,0,0,1
5333,positive,4,0,0,1,1,0,0,0,1
5371,positive,4,1,0,1,1,1,1,0,1
5388,positive,5,0,1,1,1,0,1,0,1
5507,negative,1,0,0,0,0,0,0,0,1
5512,neutral,3,1,0,1,1,1,0,0,1
5618,neutral,3,1,0,1,1,1,0,0,1
5624,negative,1,1,1,1,0,1,1,0,1
5670,positive,4,1,0,1,0,0,1,0,1
5697,positive,4,0,1,1,0,0,1,0,1
5706,negative,1,1,0,0,0,0,0,0,1
5713,negative,1,0,0,1,0,0,0,0,1
5725,negative,1,1,0,0,0,0,1,0,1
5726,positive,5,1,0,1,1,1,0,0,1
5730,positive,4,1,0,0,0,0,0,0,1
5735,positive,5,1,1,1,0,0,0,0,1
5750,positive,5,0,0,1,0,0,0,0,1
5767,positive,4,1,1,1,1,0,0,0,1
5778,positive,4,1,0,1,0,0,0,0,1
5799,positive,4,1,0,1,1,1,0,0,1
5812,negative,1,1,0,0,0,0,0,0,1
5846,positive,5,1,1,1,1,1,0,0,1
5857,positive,4.5,1,0,0,1,1,0,0,1
5893,positive,4,1,1,1,1,1,0,0,1
5897,positive,5,1,0,0,1,0,0,0,1
5902,negative,1,1,0,0,0,0,0,0,1
5943,positive,4,0,1,1,1,1,0,1,1
5969,positive,5,1,1,1,1,1,0,0,1
5973,neutral,3,1,1,1,1,0,0,0,1
5994,positive,4,1,0,1,1,1,1,0,1
6010,positive,5,1,1,1,1,1,1,0,1
6034,positive,5,1,1,1,1,1,1,0,1
6052,positive,5,1,1,1,1,1,1,0,1
6084,positive,5,0,0,0,0,0,0,0,1
6085,positive,4,1,0,0,1,1,0,0,1
6123,neutral,3,0,0,0,0,0,1,0,1
6162,positive,5,0,1,1,1,0,1,0,1
6166,positive,5,0,1,1,1,1,1,0,1
6229,negative,1,1,1,1,1,0,0,0,1
6246,positive,5,1,1,1,1,1,1,1,1
6252,positive,4,0,1,1,0,1,0,1,1
6278,positive,5,0,0,0,1,0,0,0,1
6301,negative,1,1,1,0,1,1,0,0,1
6312,negative,1,1,0,0,0,0,0,0,1
6315,negative,1,1,0,0,0,0,0,0,1
6319,negative,1,1,0,1,0,1,1,0,1
6335,negative,1,1,0,0,0,0,0,1,1
6398,positive,5,1,1,0,0,0,0,0,1
6409,positive,5,1,1,1,0,0,1,1,1
6444,positive,4,1,0,0,0,0,1,0,1
6513,positive,4,1,1,1,1,0,1,1,1
6546,neutral,3,0,0,0,0,0,0,0,1
6572,positive,4,1,0,0,0,0,0,0,1
6573,positive,5,1,1,1,1,1,1,1,1
6586,negative,1,1,0,0,0,0,0,0,1
6612,positive,5,0,1,1,1,1,1,1,1
6675,negative,1,1,1,1,0,0,0,0,1
6701,positive,4,0,1,0,1,0,0,0,1
6752,positive,4,1,1,1,1,1,0,1,1
6782,neutral,3,0,0,1,0,1,0,0,1
6852,negative,1,1,0,0,0,1,0,0,1
6873,negative,1,1,0,0,0,1,0,0,1
6876,positive,5,1,0,1,0,0,1,0,1
6953,positive,4,0,0,1,0,0,1,0,1
7005,negative,1,1,0,0,0,0,0,0,1
7035,positive,4,0,0,1,1,1,0,0,1
7061,positive,4,0,0,1,1,1,0,0,1
7084,positive,4,1,0,1,1,1,0,0,1
7086,negative,1,1,0,1,0,0,0,0,1
7097,neutral,3,1,0,1,0,0,1,0,1
7136,positive,4,0,0,1,1,0,0,0,1
7137,negative,1,1,0,0,0,0,0,0,1
7204,positive,5,1,0,1,1,0,0,0,1
7210,positive,4,0,0,1,1,0,0,0,1
7219,positive,5,1,1,1,1,1,0,0,1
7230,negative,1,1,0,0,0,0,0,0,1
7268,positive,5,1,0,1,1,0,0,0,1
7336,positive,5,0,0,1,1,1,0,0,1
7352,positive,4,0,0,0,0,0,0,0,1
7467,positive,4,0,0,1,0,0,0,1,1
7470,positive,5,0,1,1,1,1,1,1,1
7504,positive,5,0,0,1,1,1,1,1,1
7551,positive,4,0,0,1,1,1,1,1,1
7576,positive,5,0,0,0,0,0,0,0,1
7626,positive,5,0,0,1,0,0,0,0,1
7631,positive,5,0,0,1,1,1,0,0,1
7678,positive,5,0,0,1,1,0,0,0,1
7735,positive,4,1,0,0,0,0,0,0,1
7748,positive,5,0,0,1,1,1,1,0,1
7775,positive,4.5,1,1,1,1,1,1,1,1
7807,negative,2,0,0,1,0,1,0,0,1
7820,positive,5,1,0,1,1,1,0,0,1
7860,positive,4,0,0,1,1,1,1,1,1
7869,positive,4,0,0,1,1,0,1,0,1
7897,positive,4,0,0,1,1,0,1,0,1
7913,negative,1,1,0,0,0,0,0,1,1
7961,positive,5,0,0,1,1,0,0,0,1
7970,positive,4,0,0,1,1,1,1,1,1
7978,neutral,3,0,0,1,0,1,1,0,1
8006,positive,4,1,0,1,1,1,0,0,1
8047,positive,5,0,0,1,1,1,0,0,1
8062,negative,1,0,0,0,0,0,0,0,1
8099,positive,5,0,0,1,1,1,0,1,1
8141,positive,5,1,0,1,1,1,1,1,1
8147,negative,1,1,0,0,0,1,0,0,1
8149,positive,5,0,0,1,0,0,0,0,1
8150,positive,5,0,0,1,1,1,0,0,1
8188,positive,5,0,0,1,1,1,1,0,1
8197,positive,5,0,0,1,1,1,1,0,1
8215,positive,4,0,0,1,1,1,1,1,1
8265,negative,2,0,0,0,0,0,1,0,1
8304,negative,1,1,0,0,0,0,0,0,1
8324,negative,1,1,0,0,0,0,0,0,1
8337,negative,1,1,0,0,0,0,0,0,1
8341,negative,1,1,0,0,0,0,0,0,1
8372,negative,1,1,0,0,0,0,0,0,1
8393,positive,4,0,0,1,1,1,1,0,1
8396,positive,5,0,1,0,1,1,1,1,1
8445,negative,1,1,0,1,1,1,1,0,1
8477,positive,4,0,1,1,1,1,1,1,1
8490,neutral,3,0,0,1,1,1,0,1,1
8546,positive,5,0,0,1,1,0,0,0,1
8565,negative,1,1,0,1,0,0,0,0,1
8580,positive,4.5,1,0,1,0,0,1,0,1
8600,neutral,3,0,0,1,0,0,1,0,1
8613,positive,4,0,0,1,0,0,0,0,1
8650,negative,1,1,0,0,0,0,0,0,1
8658,positive,5,1,0,1,0,0,0,0,1
8663,positive,5,1,0,0,0,0,0,0,1
8743,positive,5,1,0,1,1,0,0,0,1
8761,positive,4,1,0,1,1,1,0,0,1
8800,negative,1,0,0,1,0,1,0,1,1
8870,positive,5,0,0,1,1,1,0,0,1
8882,positive,4.5,1,0,1,0,1,1,0,1
8905,negative,1,0,0,0,0,1,0,0,1
8910,positive,5,0,1,1,1,0,1,0,1
8920,positive,5,1,0,1,0,0,0,0,1
8965,positive,5,0,0,1,0,0,0,0,1
8966,positive,4,0,0,1,0,0,0,0,1
8971,positive,4,1,0,1,1,1,1,0,1
8972,positive,4,0,0,0,0,0,0,0,1
8999,neutral,3,0,1,1,1,1,0,1,1
9012,positive,5,0,0,1,0,0,0,0,1
9020,negative,1,1,0,0,0,1,0,0,1
9046,positive,5,1,0,1,1,0,0,0,1
9120,positive,5,1,0,1,1,1,0,1,1
9142,positive,4,0,0,1,0,0,0,0,1
9146,positive,5,0,0,1,1,0,0,0,1
9163,negative,1,1,0,0,0,0,0,1,1
9196,negative,1,1,0,0,0,1,0,0,1
9226,positive,4,0,0,1,1,1,0,1,1
9263,positive,4,0,0,1,1,1,1,1,1
9266,positive,5,0,0,1,1,1,0,1,1
9269,negative,1,0,0,0,0,1,0,0,1
9300,positive,5,0,0,1,1,1,0,1,1
9319,positive,5,0,0,1,1,1,0,0,1
9410,negative,1,1,0,0,1,0,0,0,1
9418,positive,4,1,0,1,0,0,1,0,1
9428,negative,2,0,0,0,0,1,0,0,1
9475,positive,5,1,0,1,0,0,1,0,1
9532,positive,5,1,0,1,1,0,0,0,1
9533,positive,5,1,0,0,0,0,0,0,1
9542,positive,5,1,0,1,0,0,0,0,1
9582,positive,4,1,0,1,0,1,1,0,1
9585,positive,4,1,0,1,0,0,1,0,1
9615,positive,5,1,0,1,0,0,0,0,1
9628,positive,4,1,0,1,1,1,0,0,1
9642,negative,1,0,0,1,0,0,0,0,1
9658,positive,4,1,1,1,1,0,1,0,1
9759,neutral,3,0,0,1,0,0,1,0,1
9764,positive,4,1,0,1,0,0,1,0,1
9807,neutral,3,0,0,1,1,1,0,1,1
9824,neutral,3,0,0,0,0,0,0,1,1
9846,positive,5,1,0,1,0,0,1,0,1
9849,negative,2,0,1,1,1,1,1,0,1
9850,positive,4,0,0,1,0,1,1,0,1
9898,positive,5,1,0,1,1,1,0,1,1
9906,positive,5,1,0,1,1,1,1,0,1
9910,positive,4,1,0,1,1,1,1,1,1
9919,positive,4,1,0,1,1,1,1,1,1
9932,positive,5,0,0,1,0,0,0,0,1
9942,positive,5,1,1,1,1,0,1,0,1
10008,neutral,3,1,0,0,0,0,0,0,1
10009,positive,5,0,0,1,0,0,1,0,1
10030,positive,5,1,0,1,0,0,1,1,1
10065,positive,4,1,0,1,0,0,1,0,1
10097,positive,5,1,0,1,1,1,0,0,1
10175,positive,5,1,0,1,1,1,0,0,1
10201,negative,1,1,0,0,0,0,0,0,1
10233,positive,5,1,1,1,1,1,1,1,1
10275,positive,5,0,0,0,0,0,0,0,1
10281,positive,5,1,0,1,1,0,1,0,1
10287,positive,4,0,0,1,0,0,0,0,1
10301,positive,5,0,0,1,0,0,0,0,1
10310,positive,5,0,0,1,0,0,0,0,1
10333,positive,5,0,1,1,1,0,0,1,1
10365,positive,4,0,0,1,0,0,0,0,1
10381,positive,5,1,0,1,0,0,0,0,1
10389,positive,4,1,0,1,1,1,0,0,1
10407,positive,5,1,0,1,0,1,0,0,1
10477,positive,5,0,0,0,1,0,1,1,1
10521,positive,5,1,0,1,1,1,0,1,1
10593,positive,4,1,0,0,0,0,1,0,1
10614,positive,4,1,1,1,1,1,1,1,1
10627,positive,5,1,0,1,0,1,1,1,1
10645,positive,4.5,1,0,1,0,0,1,0,1
10700,positive,5,1,0,1,1,0,1,0,1
10701,positive,4,0,0,1,0,0,1,0,1
10724,positive,4,1,0,1,1,0,1,0,1
10757,positive,4,0,0,1,0,1,1,0,1
10761,positive,5,1,1,1,1,1,1,1,1
10767,positive,4.5,1,1,1,1,1,1,1,1
10797,positive,4.5,1,1,1,0,0,0,0,1
10849,positive,4,1,0,1,1,1,1,0,1
10890,neutral,3,0,0,0,0,0,0,0,1
10936,positive,5,0,0,1,1,1,0,0,1
10943,positive,5,0,0,1,0,0,0,0,1
10958,positive,4,1,0,1,0,1,1,1,1
10994,negative,1,1,0,0,0,0,0,0,1
11050,positive,4,1,1,1,1,1,1,0,1
11071,negative,1,1,0,0,0,0,0,0,1
11089,positive,4,0,1,1,0,1,1,0,1
11111,positive,4,0,0,1,1,1,1,1,1
11118,positive,5,0,0,1,0,0,0,0,1
11153,positive,4,1,1,1,0,0,1,0,1
11164,positive,4,1,1,1,1,1,1,1,1
11192,positive,4,1,0,1,1,0,1,0,1
11199,positive,4,1,1,1,1,1,1,1,1
11259,positive,5,1,0,1,0,0,1,0,1
11282,positive,5,1,0,1,1,0,1,0,1
11305,positive,5,1,1,1,1,1,1,1,1
11346,positive,4,1,1,1,1,1,1,1,1
11376,positive,4,1,0,1,0,0,1,0,1
11388,neutral,3,0,0,1,0,1,0,0,1
11443,neutral,3,0,1,1,0,1,1,0,1
11466,positive,5,0,0,1,0,0,1,0,1
11471,positive,4,0,0,1,0,0,0,0,1
11477,positive,4,0,0,1,1,1,1,1,1
11527,neutral,3,0,0,0,1,0,1,0,1
11529,negative,1,1,0,0,0,0,0,0,1
11557,negative,1,1,0,0,1,0,0,0,1
11598,positive,4,1,0,1,1,0,1,0,1
11605,positive,5,1,0,1,0,0,0,0,1
11635,negative,2,1,0,0,0,0,0,0,1
11644,positive,4,1,0,1,0,0,1,0,1
11656,negative,1,1,0,0,0,1,0,0,1
11662,positive,5,0,0,1,0,0,0,0,1
11701,negative,1,1,0,0,0,0,0,0,1
11713,positive,5,1,0,1,0,0,1,0,1
11780,negative,1,1,0,0,0,0,0,0,1
11789,negative,1,0,0,0,0,0,0,0,1
11799,negative,1,0,0,0,0,0,0,0,1
11812,negative,1,1,0,1,0,0,0,1,1
11828,positive,4,1,0,1,0,0,1,0,1
11851,positive,5,0,0,1,0,0,1,0,1
11856,positive,5,0,0,1,0,1,0,0,1
11908,positive,5,0,0,1,1,0,1,0,1
11910,positive,4,0,1,1,0,0,0,0,1
11925,neutral,3,0,1,0,0,0,1,0,1
11970,negative,1,0,0,0,0,0,1,1,1
12013,negative,1,1,0,0,0,0,1,0,1
12026,positive,5,0,0,1,1,0,0,0,1
12113,positive,5,0,0,1,1,1,0,1,1
12126,neutral,3,0,0,0,0,0,1,0,1
12130,positive,5,0,1,1,1,1,0,1,1
12171,positive,4.5,0,0,1,0,0,0,0,1
12176,positive,4,0,0,1,1,1,1,0,1
12198,negative,1,1,0,1,0,0,0,0,1
12219,negative,1,1,0,0,0,0,0,0,1
12244,negative,1,1,0,0,0,0,0,1,1
12257,negative,1,0,0,1,0,0,0,1,1
12274,positive,5,0,0,1,0,0,0,0,1
12276,negative,1,0,0,1,1,1,0,1,1
12339,positive,4,0,1,1,1,1,0,1,1
12344,positive,5,0,0,1,1,1,0,1,1
12368,negative,1,1,0,1,0,0,0,0,1
12417,positive,5,0,1,1,0,1,1,0,1
12439,negative,1,1,0,0,0,0,0,0,1
12474,positive,4,1,1,0,0,0,0,0,1
12486,positive,5,1,1,1,0,1,0,0,1
12549,negative,1,1,0,1,0,0,1,0,1
12643,negative,1,1,0,1,0,0,0,0,1
12651,positive,5,0,1,1,0,0,1,0,1
12655,negative,1,1,0,1,0,1,0,0,1
12660,neutral,3,1,0,1,1,1,0,0,1
12682,positive,5,1,0,1,0,0,0,0,1
12714,positive,5,1,1,1,1,1,1,0,1
12733,negative,2,0,0,0,0,1,0,1,1
12745,negative,1,0,0,0,0,0,0,0,1
12753,positive,4,0,0,1,1,1,1,1,1
12788,positive,4,0,1,1,1,1,1,1,1
12813,positive,4,1,0,1,1,0,1,0,1
12815,negative,1,0,0,0,1,1,0,0,1
12826,positive,4,1,1,1,1,1,1,0,1
12846,positive,4,1,1,1,1,1,1,0,1
12861,positive,5,1,1,1,1,1,1,1,1
12884,negative,1,0,0,0,0,0,0,1,1
12885,negative,1,1,0,1,0,0,0,0,1
12889,negative,1,1,0,1,0,0,0,0,1
12902,negative,1,1,0,0,0,0,0,0,1
12944,positive,4,0,0,1,0,1,1,1,1
12948,positive,4,1,0,1,1,1,1,1,1
12955,positive,5,1,0,1,0,0,1,0,1
13011,positive,4,1,0,1,0,0,1,0,1
13017,positive,4,1,1,1,1,1,1,0,1
13074,positive,5,1,0,1,1,1,1,0,1
13094,positive,4,1,0,1,1,0,0,0,1
13101,positive,4,0,1,1,0,0,1,0,1
13119,positive,5,1,0,1,0,1,1,0,1
13131,positive,4,1,0,1,1,1,1,0,1
13133,negative,1,0,0,0,0,0,0,0,1
13141,negative,2,1,0,0,1,0,1,0,1
13164,positive,4,1,0,1,1,1,1,1,1
13240,positive,5,1,1,1,1,1,1,0,1
13267,negative,1,1,0,0,0,0,0,0,1
13277,negative,1,1,0,0,0,0,0,0,1
13284,negative,1,1,0,0,0,0,0,0,1
13336,positive,3.5,0,0,1,1,0,1,0,1
13361,negative,1,1,0,1,0,1,0,0,1
13417,positive,5,1,1,1,1,1,1,0,1
13464,negative,1,1,0,0,0,1,0,0,1
13613,positive,5,1,1,1,1,1,1,0,1
13666,negative,1,1,0,0,0,0,0,0,1
13688,positive,4,0,1,1,0,1,1,1,1
13692,positive,5,0,0,1,1,0,0,0,1
13712,positive,5,0,0,0,0,0,1,0,1
13727,positive,5,1,0,1,1,0,1,0,1
13870,negative,1,1,0,0,0,0,0,0,1
13879,positive,4,0,1,1,1,1,0,1,1
13881,positive,5,0,0,1,1,1,1,0,1
13889,positive,5,1,0,0,0,0,0,0,1
13894,neutral,3,1,0,1,1,0,0,0,1
13922,negative,1,0,1,1,0,0,0,0,1
13925,negative,1,1,0,0,1,1,1,0,1
13936,positive,5,0,0,1,1,1,0,0,1
13991,positive,4,1,0,0,0,0,1,0,1
14026,negative,2,1,0,0,0,0,1,0,1
14113,positive,4,0,0,1,0,0,1,1,1
14198,neutral,3,1,0,0,0,0,0,0,1
14262,positive,5,1,1,1,0,0,0,0,1
14271,negative,2,1,0,0,0,0,0,0,1
14296,positive,4,0,0,1,0,0,0,0,1
14297,positive,4,0,1,1,0,0,0,0,1
14314,negative,1,1,0,1,1,0,0,0,1
14356,positive,5,0,0,0,0,0,0,0,1
14376,neutral,3,1,0,0,0,0,0,0,1
14420,positive,4,0,1,1,1,0,0,0,1
14586,negative,1,0,0,0,1,0,0,0,1
14638,positive,4,0,0,1,0,0,0,1,1
14679,positive,4,0,1,1,1,1,0,1,1
14695,neutral,3,0,0,1,1,1,1,0,1
14697,positive,5,0,0,1,1,1,1,1,1
14745,negative,1,1,0,0,0,0,0,0,1
14758,positive,4,0,0,1,0,0,0,0,1
14772,negative,1,0,0,0,0,0,1,0,1
14830,negative,2,0,0,1,1,1,1,1,1
14840,neutral,3,1,0,1,0,1,1,0,1
14868,positive,5,1,0,0,0,0,0,0,1
14891,positive,4,1,0,0,1,0,1,0,1
14896,positive,4,0,0,1,1,0,1,0,1
14911,positive,4,1,0,0,1,1,0,0,1
14914,positive,4,1,0,0,1,0,0,0,1
14954,negative,2,1,0,0,0,0,0,0,1
14959,positive,5,1,1,1,1,0,1,0,1
14962,negative,1,1,0,0,0,0,0,0,1
15081,negative,2,1,0,0,0,0,1,0,1
15096,positive,4,1,0,0,0,0,0,0,1
15105,positive,4,1,0,0,1,0,0,0,1
15106,positive,4,0,0,0,0,0,0,0,1
15115,positive,4,1,0,1,1,0,1,0,1
15123,positive,4,0,0,1,1,1,0,0,1
15134,negative,1,1,0,0,0,0,0,0,1
15151,positive,4,0,0,1,1,0,0,0,1
15252,positive,5,1,0,0,1,0,1,0,1
15320,positive,4,0,0,1,1,0,1,0,1
15322,positive,5,0,0,1,1,1,1,0,1
15326,positive,4,0,0,1,1,1,0,0,1
15327,positive,4,1,0,1,1,1,1,0,1
15332,positive,5,1,1,1,1,1,1,0,1
15355,negative,1,0,0,1,1,1,0,1,1
15370,negative,1,0,0,0,0,0,0,0,1
15384,positive,5,1,1,1,1,1,1,0,1
15396,positive,5,1,0,1,1,1,0,0,1
15398,positive,5,1,1,1,1,1,1,1,1
15430,neutral,3,0,0,0,0,0,0,0,1
15451,positive,5,1,1,1,1,1,1,0,1
15453,negative,1,0,0,0,0,1,0,1,1
15457,positive,5,1,1,1,1,0,1,0,1
15478,positive,5,0,0,1,1,0,0,0,1
15480,positive,5,0,1,1,0,1,0,1,1
15492,positive,5,0,0,1,1,0,0,0,1
15530,positive,5,0,0,1,1,1,0,0,1
15582,negative,1,1,0,0,0,0,0,0,1
15639,positive,4,0,0,0,1,0,0,0,1
15654,positive,5,1,0,1,1,1,1,1,1
15674,positive,5,0,0,0,1,0,0,0,1
15712,positive,5,0,0,1,1,0,0,0,1
15781,negative,1,1,0,0,0,0,0,0,1
15796,positive,4,1,1,1,1,1,0,0,1
15807,positive,5,1,0,0,1,1,0,0,1
15901,positive,5,1,0,1,1,1,0,0,1
15964,positive,4,1,0,1,1,0,1,0,1
15978,positive,4,1,0,0,0,0,0,0,1
15993,positive,5,0,0,1,1,0,1,0,1
16000,positive,4,1,0,1,0,0,1,0,1
16011,positive,4,1,1,1,1,1,1,0,1
16023,positive,4,1,1,1,1,1,1,0,1
16031,positive,5,1,0,1,0,0,1,0,1
16067,positive,5,0,0,1,0,0,0,0,1
16111,positive,4,1,1,1,1,1,1,0,1
16126,positive,4,0,0,1,1,0,1,0,1
16133,positive,5,1,1,1,1,0,0,0,1
